name,arabic_name,email,national_id,university_code,university_email,phone,address,password,year,department
Hettie,Kirbee,.@yopmail.com,391,1,1.eg.app@app.eg,321,"Macedonia, The Former Yugoslav Republic of",aGcKTUJMVHT eZh,1,2
Danny,Muriel,.@yopmail.com,600,2,2.eg.app@app.eg,653,Anguilla,VZAHMojgdhGppqw,1,2
Deirdre,Othilia,.@yopmail.com,47,3,3.eg.app@app.eg,387,Seychelles,TpDpUUNCTnbM,1,2
Lorenza,Etom,.@yopmail.com,898,4,4.eg.app@app.eg,765,Ghana,zMzHWfopn,1,2
Laure,Eckblad,.@yopmail.com,329,5,5.eg.app@app.eg,796,Netherlands Antilles,zbTfwXMWcdh,1,2
Beverley,Juliet,.@yopmail.com,903,6,6.eg.app@app.eg,501,Jamaica,jWFoKaqlfDaOs,1,2
Briney,Thad,.@yopmail.com,879,7,7.eg.app@app.eg,401,Vanuatu,C aWESOHDMGDJee,1,2
Willetta,Amand,.@yopmail.com,269,8,8.eg.app@app.eg,461,Comoros,qpqVPUTrcXqmL,1,2
Dulce,Wenoa,.@yopmail.com,474,9,9.eg.app@app.eg,304,"Tanzania, United Republic of",LAu vPTsz,1,2
Charissa,Frodi,.@yopmail.com,676,10,10.eg.app@app.eg,744,Montserrat,OIWGkIYWgMh,1,2
