name,arabic_name,email,national_id,university_code,university_email,phone,address,password,year,department,username
Fayre,Yam,.@yopmail.com,965,1,1.eg.app@app.eg,74,Burkina Faso,cMtofsMmdMzeKsKM,1,2,Christy
Maryellen,Thar,.@yopmail.com,185,2,2.eg.app@app.eg,661,Serbia and Montenegro,GImOiMzEdwkVJ,1,2,Susette
Aili,Gerge,.@yopmail.com,862,3,3.eg.app@app.eg,986,"Congo, The Democratic Republic of the",tsNmdcEAjB,1,2,Arlena
Modestia,Orlene,.@yopmail.com,403,4,4.eg.app@app.eg,231,Grenada,qwJHoQKiX,1,2,Tracey
Linzy,Mott,.@yopmail.com,744,5,5.eg.app@app.eg,616,Angola,"uHqNQXvGjQGNX ",1,2,Natka
Rosanne,Gerge,.@yopmail.com,573,6,6.eg.app@app.eg,364,Tonga,YLaAqcBa,1,2,Vere
Tami,Posner,.@yopmail.com,961,7,7.eg.app@app.eg,601,Spain,pPMBUVnqteR,1,2,Giustina
Ida,Aida,.@yopmail.com,354,8,8.eg.app@app.eg,831,Christmas Island,RcrxgQwLbSqQ,1,2,Rani
Michaelina,Carey,.@yopmail.com,223,9,9.eg.app@app.eg,363,Iceland,AoSyjRyG,1,2,Codie
Ottilie,Olnee,.@yopmail.com,42,10,10.eg.app@app.eg,71,Iraq,vlvFmMEh,1,2,Claudina
