name,arabic_name,email,national_id,university_code,university_email,phone,address,password,year,department,username
Fayre,Yam,.@yopmail.com222,22965,2221,1.eg.a2pp@app.eg,42374,Burkina Faso,cMtofsMmdMzeKsKM,4,3,Christy22
Maryellen,Thar,.@yopmail.com5,14185,3342,2.eg.a2pp@app.eg,4234661,Serbia and Montenegro,GImOiMzEdwkVJ,4,3,Susette14
Aili,Gerge,.@yopmail.com1231222,81462,345343,3.eg.a2pp@app.eg,342986,"Congo, The Democratic Republic of the",tsNmdcEAjB,4,3,Arlena342
Modestia,Orlene,.@yopmail.com1231,44103,53454,4.eg.a2pp@app.eg,2423431,Grenada,qwJHoQKiX,4,3,Traceyad24
Linzy,Mott,.@yopmail.com11,74414,345345,5.eg.a32pp@app.eg,623416,Angola,uHqNQXvGjQGNX ,4,3,Natka2342
Rosanne,Gerge,.@yopmail.com32,51473,567116,6.eg.a1pp@app.eg,323464,Tonga,YLaAqcBa,4,3,Vere2345
Tami,Posner,.@yopm7523ail.com,91461,345347,7.eg.ddapp@app.eg,623401,Spain,pPMBUVnqteR,4,3,Giustinafs45
Ida,Aida,.@yopm77ail.com,7885,34538,8.egd.app@app.eg,84631,Christmas Island,RcrxgQwLbSqQ,4,3,Rani5345
Michaelina,Carey,.@yop2mail.com,28723,456759,9.eg.addpp@app.eg,385663,Iceland,AoSyjRyG,4,3,Codie2345
Ottilie,Olnee,.@yopmail.com342,45732,9783,10.eg.adpp@app.eg,75671,Iraq,vlvFmMEh,4,3,Claudin234a
